2020-05-05T19:34:17.172+0530 |[Forwarding newSession on session null to remote]| DEBUG | RequestAddCookies | CookieSpec selected: default
2020-05-05T19:34:17.205+0530 |[Forwarding newSession on session null to remote]| DEBUG | RequestAuthCache | Auth cache not set in the context
2020-05-05T19:34:17.208+0530 |[Forwarding newSession on session null to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection request: [route: {}->http://localhost:6328][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2020-05-05T19:34:17.229+0530 |[Forwarding newSession on session null to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection leased: [id: 0][route: {}->http://localhost:6328][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:17.231+0530 |[Forwarding newSession on session null to remote]| DEBUG | MainClientExec | Opening connection {}->http://localhost:6328
2020-05-05T19:34:17.233+0530 |[Forwarding newSession on session null to remote]| DEBUG | DefaultHttpClientConnectionOperator | Connecting to localhost/127.0.0.1:6328
2020-05-05T19:34:17.260+0530 |[Forwarding newSession on session null to remote]| DEBUG | DefaultHttpClientConnectionOperator | Connection established 127.0.0.1:53834<->127.0.0.1:6328
2020-05-05T19:34:17.261+0530 |[Forwarding newSession on session null to remote]| DEBUG | DefaultManagedHttpClientConnection | http-outgoing-0: set socket timeout to 10800000
2020-05-05T19:34:17.261+0530 |[Forwarding newSession on session null to remote]| DEBUG | MainClientExec | Executing request POST /session HTTP/1.1
2020-05-05T19:34:17.261+0530 |[Forwarding newSession on session null to remote]| DEBUG | MainClientExec | Target auth state: UNCHALLENGED
2020-05-05T19:34:17.262+0530 |[Forwarding newSession on session null to remote]| DEBUG | MainClientExec | Proxy auth state: UNCHALLENGED
2020-05-05T19:34:17.264+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> POST /session HTTP/1.1
2020-05-05T19:34:17.264+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2020-05-05T19:34:17.264+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> Content-Length: 122
2020-05-05T19:34:17.264+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> Host: localhost:6328
2020-05-05T19:34:17.264+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> Connection: Keep-Alive
2020-05-05T19:34:17.265+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)
2020-05-05T19:34:17.265+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 >> Accept-Encoding: gzip,deflate
2020-05-05T19:34:17.265+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "POST /session HTTP/1.1[\r][\n]"
2020-05-05T19:34:17.265+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2020-05-05T19:34:17.266+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "Content-Length: 122[\r][\n]"
2020-05-05T19:34:17.266+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "Host: localhost:6328[\r][\n]"
2020-05-05T19:34:17.266+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2020-05-05T19:34:17.266+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)[\r][\n]"
2020-05-05T19:34:17.266+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2020-05-05T19:34:17.266+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "[\r][\n]"
2020-05-05T19:34:17.267+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 >> "{"desiredCapabilities":{"browserName":"chrome","chromeOptions":{"args":[],"extensions":[]},"version":"","platform":"ANY"}}"
2020-05-05T19:34:19.398+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2020-05-05T19:34:19.398+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 << "Content-Length:1048[\r][\n]"
2020-05-05T19:34:19.399+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
2020-05-05T19:34:19.399+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 << "[\r][\n]"
2020-05-05T19:34:19.400+0530 |[Forwarding newSession on session null to remote]| DEBUG | wire | http-outgoing-0 << "{"sessionId":"267c4e8519d88a79111d7f4e9694f899","status":0,"value":{"acceptInsecureCerts":false,"acceptSslCerts":false,"applicationCacheEnabled":false,"browserConnectionEnabled":false,"browserName":"chrome","chrome":{"chromedriverVersion":"81.0.4044.69 (6813546031a4bc83f717a2ef7cd4ac6ec1199132-refs/branch-heads/4044@{#776})","userDataDir":"C:\\Windows\\TEMP\\scoped_dir7756_1449768695"},"cssSelectorsEnabled":true,"databaseEnabled":false,"goog:chromeOptions":{"debuggerAddress":"localhost:53835"},"handlesAlerts":true,"hasTouchScreen":false,"javascriptEnabled":true,"locationContextEnabled":true,"mobileEmulationEnabled":false,"nativeEvents":true,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platform":"Windows","proxy":{},"rotatable":false,"setWindowRect":true,"strictFileInteractability":false,"takesHeapSnapshot":true,"takesScreenshot":true,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unexpectedAlertBehaviour":"ignore","version":"81.0.4044.129","webStorageEnabled":true,"webauthn:virtualAuthenticators":true}}"
2020-05-05T19:34:19.405+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 << HTTP/1.1 200 OK
2020-05-05T19:34:19.406+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 << Content-Length:1048
2020-05-05T19:34:19.406+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 << Content-Type:application/json; charset=utf-8
2020-05-05T19:34:19.413+0530 |[Forwarding newSession on session null to remote]| DEBUG | MainClientExec | Connection can be kept alive indefinitely
2020-05-05T19:34:19.420+0530 |[Forwarding newSession on session null to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection [id: 0][route: {}->http://localhost:6328] can be kept alive indefinitely
2020-05-05T19:34:19.420+0530 |[Forwarding newSession on session null to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection released: [id: 0][route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:19.433+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAddCookies | CookieSpec selected: default
2020-05-05T19:34:19.434+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAuthCache | Auth cache not set in the context
